scryfallId,archetype,games_played
0020c31b-002a-4121-bc61-2c2c16e9afc8,Aggro-Combo,20
0027e5ca-8046-40a0-bd73-79be55f28bff,Aggro-Control (Tempo),20
0027e5ca-8046-40a0-bd73-79be55f28bff,Combo,67
0027e5ca-8046-40a0-bd73-79be55f28bff,Combo-Control,19
0027e5ca-8046-40a0-bd73-79be55f28bff,Control,36
0055ea30-20fb-4324-a632-8fed87628f05,Aggro,25
0055ea30-20fb-4324-a632-8fed87628f05,Aggro-Combo,35
0055ea30-20fb-4324-a632-8fed87628f05,Control,20
0055ea30-20fb-4324-a632-8fed87628f05,Control-Aggro (Midrange),48
005dae9a-dddc-4a11-95bb-cce319edcce4,Aggro,28
005dae9a-dddc-4a11-95bb-cce319edcce4,Aggro-Combo,17
005dae9a-dddc-4a11-95bb-cce319edcce4,Combo-Control,20
005dae9a-dddc-4a11-95bb-cce319edcce4,Control,27
005dae9a-dddc-4a11-95bb-cce319edcce4,Control-Aggro (Midrange),29
006d2bf1-20f7-4b09-8d98-8233d91682bd,Aggro,73
006d2bf1-20f7-4b09-8d98-8233d91682bd,Aggro-Control (Tempo),19
006d2bf1-20f7-4b09-8d98-8233d91682bd,Control,40
00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Combo,51
00cb17a0-5a13-4d02-b7fb-f99531bc8ca5,Combo-Control,29
00f9955f-a522-47bf-b064-92dd21a76b18,Control,21
01006833-6007-4c16-9ebb-20d31c60a57a,Aggro,35
01006833-6007-4c16-9ebb-20d31c60a57a,Combo,31
01006833-6007-4c16-9ebb-20d31c60a57a,Control-Aggro (Midrange),29
01794178-cf41-454c-ac37-1d8b18e42db2,Aggro,21
01794178-cf41-454c-ac37-1d8b18e42db2,Aggro-Combo,40
01794178-cf41-454c-ac37-1d8b18e42db2,Combo-Control,32
01794178-cf41-454c-ac37-1d8b18e42db2,Control-Aggro (Midrange),36
01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Combo,36
01978fe5-00a9-4add-ae2a-b4c2572ffb9a,Control,18
01c6f877-6b00-4d57-8a88-36cd3b16edbc,Aggro,26
01c6f877-6b00-4d57-8a88-36cd3b16edbc,Aggro-Combo,43
01c6f877-6b00-4d57-8a88-36cd3b16edbc,Control-Aggro (Midrange),68
01d1e394-1b0c-4b40-ba85-f55973703d41,Combo,31
01d1e394-1b0c-4b40-ba85-f55973703d41,Control,54
01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Aggro,42
01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Aggro-Combo,35
01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Control,49
01e7b0bc-1c6c-48f4-8b72-1a809f536c6c,Control-Aggro (Midrange),27
02138fbb-3962-4348-8d31-faaefba0b8b2,Aggro-Control (Tempo),18
02138fbb-3962-4348-8d31-faaefba0b8b2,Combo-Control,20
02138fbb-3962-4348-8d31-faaefba0b8b2,Control,60
026e7167-d665-43d0-a51e-8df2d68cdb5e,Control,20
02902fcc-eefc-4e81-aafd-59fa203a71d7,Combo-Control,21
02c532e8-21f1-4d6f-a931-1ea48a6aeea2,Combo,40
02c532e8-21f1-4d6f-a931-1ea48a6aeea2,Combo-Control,20
02c532e8-21f1-4d6f-a931-1ea48a6aeea2,Control,24
02d6d693-f1f3-4317-bcc0-c21fa8490d38,Combo,112
02d6d693-f1f3-4317-bcc0-c21fa8490d38,Combo-Control,32
02d6d693-f1f3-4317-bcc0-c21fa8490d38,Control,19
0324641d-af55-4c53-b4dc-c8262e967da5,Aggro-Control (Tempo),28
0324641d-af55-4c53-b4dc-c8262e967da5,Combo,28
0324641d-af55-4c53-b4dc-c8262e967da5,Combo-Control,20
0324641d-af55-4c53-b4dc-c8262e967da5,Control,25
0359f212-9564-41a9-870b-d2c57455a695,Combo,43
0359f212-9564-41a9-870b-d2c57455a695,Control,43
045ce37b-86d2-4e56-84af-b6625b53d13c,Aggro,61
045ce37b-86d2-4e56-84af-b6625b53d13c,Combo-Control,31
045ce37b-86d2-4e56-84af-b6625b53d13c,Control,71
0463e989-ba32-4a46-a82f-e0d6daf3cd51,Aggro,29
04fc99dc-bfbe-4567-b791-6b1db96471ec,Combo,84
04fc99dc-bfbe-4567-b791-6b1db96471ec,Control,46
04fc99dc-bfbe-4567-b791-6b1db96471ec,Control-Aggro (Midrange),19
054f2276-2dd5-43da-bb26-c57c560861fe,Combo,67
054f2276-2dd5-43da-bb26-c57c560861fe,Combo-Control,40
054f2276-2dd5-43da-bb26-c57c560861fe,Control,26
05690d52-06c4-40b1-8360-380418a83250,Control,19
059164e1-894d-4586-9800-e60d6fbd6eb6,Aggro-Combo,19
059164e1-894d-4586-9800-e60d6fbd6eb6,Combo-Control,20
0596155d-8f83-40ca-be31-9a0df1ced65e,Control,27
05bd329b-5707-42fc-af1c-084cc604e805,Aggro,17
05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Combo,66
05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Control,38
05bdd22c-3e11-4c29-bdfa-d3dfc0e90a9f,Control-Aggro (Midrange),20
05cf51d8-9f91-42ff-99e9-4397f2251c20,Combo-Control,20
05cf51d8-9f91-42ff-99e9-4397f2251c20,Control,92
05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Combo,54
05e8a4ea-8c0d-4284-ac23-80e19fdde11d,Control,18
0645f487-efe5-4764-b361-85e07bb5ccca,Combo,20
