name,set,collector_number,scryfall_id
Abrade,2xm,114,24da9431-7e52-44f5-bc18-2f2d8a4ca81e
Abrupt Decay,rtr,141,3b1e92b4-6e53-4dba-a572-c67e01965ac5
Adanto Vanguard,xln,1,21c950d7-b4f6-4902-8c9a-98f2933f9fa5
"Adeline, Resplendent Cathar",mid,1,18092f68-b96e-4084-9eba-b240d2195d81
Ademi of the Silkchutes,om1,1,8ff57c8b-173e-4a72-a0a0-1ad2d5cc6e5e
Aetherflux Reservoir,kld,192,96b6b2e1-c3e6-464c-8a13-b15deb34e862
"Ajani, Nacatl Pariah",mh3,237,0d16e8e0-31b2-4389-afd6-783c501f6fa0
Alpha Deathclaw,pip,91,ca4c8b04-66af-4cb3-8003-9088d8344b20
Amped Raptor,mh3,114,1ac0e78b-0fdd-44f9-8b7b-c4f28a32782e
Ancestral Recall,vma,1,2398892d-28e9-4009-81ec-0d544af79d2b
Ancient Tomb,uma,236,bd3d4b4b-cf31-4f89-8140-9650edb03c7b
Animate Dead,plst,EMA-78,4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419
Arcane Denial,all,22a,b0c5728e-43e7-417a-ba18-5038345cec67
Archangel Elspeth,mom,320,93f99e67-901f-4c8d-8a09-e443b7eb928f
Archon of Cruelty,mh2,75,1be9d9a4-d7ee-4854-abc2-85cabf993ec9
Arid Mesa,zen,211,16c8d2fa-54a7-46e8-980c-905258497c90
Assassin's Trophy,grn,152,906b6e99-128f-4c11-8daf-16099d35b0d4
Astrologian's Planisphere,fin,46,bfa4e927-1d6f-4a64-9801-7d168a5ef3f6
"Atraxa, Grand Unifier",one,196,4a1f905f-1d55-4d02-9d24-e58070793d3f
Avacyn's Pilgrim,isd,170,7eb39e97-53c2-4df0-9fb3-a3d6a24ec41f
Badgermole Cub,tla,167,340c5799-4964-44dd-8c48-8f3f3aba5211
Badlands,sum,282,377cee38-e769-47b0-abd5-0f528600f36a
Balance,ema,2,ce648aa3-098b-4af0-a433-fd290bc85904
Baleful Mastery,stx,64,35f1a6ba-e46f-44fb-93f4-fb883d677b36
Baleful Strix,e01,80,06cb1bd6-73e0-4104-b344-4bc52d7dcedf
Baloth Prime,eoc,13,2c723fc9-d5c9-4126-a9a6-f80c247a4b6b
Barrowgoyf,m3c,102,cea3b218-0e6e-443a-84f7-380f1021e8e1
Basalt Monolith,cma,210,b90331d4-74f0-43bf-8ed2-f8616d782859
Batterskull,2xm,234,b7f16fdf-a3f5-462d-a64a-789d893b6ef5
Bayou,leb,279,17db2b6a-eaa8-4a08-9e86-370bbd058574
"Beza, the Bounding Spring",blb,2,fc310a26-b6a0-4e42-98ab-bdfd7b06cb63
