name,scryfall_id
Faerie Mastermind,52d3005f-a1c7-4ef5-911f-ccc0752f4181
Dreams of Steel and Oil,261ac92e-c61a-4c11-aa6a-9ae1cb703e5c
"Otawara, Soaring City",486d7edc-d983-41f0-8b78-c99aecd72996
Counterspell,0c9a7cb0-5bff-48ff-b620-2838816ac9b5
Verdant Catacombs,15faa763-b897-4e86-b094-73f3236291a9
Mesmeric Fiend,1785cb18-c291-4fd5-b8c7-ace893c32e49
Cryptic Coat,0c3d7e2c-a104-4757-9984-fb31088f92c4
Jack-in-the-Mox,1834ac92-8b4e-4442-a834-acd580e1ef99
Fatal Push,5427d8a6-ac9e-4e50-bd39-81713b2ade25
"Kaito, Bane of Nightmares",55a14f30-4ff9-4472-90a6-c3139f1c18e5
Thieving Skydiver,ff84ea71-e477-44f7-a3f8-77fef708efeb
Evolved Sleeper,ebeafbc2-0399-4335-8f63-76a3e085e8c6
Ancestral Recall,2398892d-28e9-4009-81ec-0d544af79d2b
Dauthi Voidwalker,29632951-3c3d-478c-8c5a-9a34f30a5c28
Mox Emerald,aced2c55-7543-4076-bcdd-36c4d649b8ae
Umezawa's Jitte,3b6e5956-f795-451b-bb24-56462d1ced27
Bloodchief's Thirst,059e8447-6b1c-4651-a734-a8fea2cbf7b2
Nethergoyf,3ee3945e-5089-4751-b7b3-5961c39d2a33
Spell Pierce,53d4fd57-74b6-42c7-88b1-110e5a8dfc3c
"Jace, the Mind Sculptor",0e606072-a3aa-4300-ba90-ec92a721fa76
Inquisition of Kozilek,56995b84-2307-4955-9c7c-dc4f04acdc07
Brazen Borrower,c2089ec9-0665-448f-bfe9-d181de127814
Mystic Confluence,cf3eb762-6c3f-4b11-a4f9-968f79370217
Phyrexian Metamorph,d2e27911-87cb-49a0-a34f-6afe4bddd592
Preacher of the Schism,89345f55-2b32-4356-945a-d56dded39909
Quantum Riddler,120be808-ff3b-4fca-96a1-4db6b9825856
Sheoldred's Edict,a9225cc3-90f0-448f-a8d9-7c6c2796d077
Toxic Deluge,564caf57-4ba5-4993-a35e-945699c94eb7
