name,scryfall_id
"Otharri, Suns' Glory",80c72839-0fa6-4b5f-83b7-6553ebf09bef
"Gut, True Soul Zealot",3d8ca18d-9099-4f1e-95c1-f04da58a26bd
Intrepid Adversary,773199f9-c83b-4a77-8342-9f1552ecf595
"Elspeth, Storm Slayer",73a065e3-b530-4e62-ab3c-4f6f908184ec
Enduring Innocence,08f79439-b8f8-418f-9772-26d81844749e
Ademi of the Silkchutes,8ff57c8b-173e-4a72-a0a0-1ad2d5cc6e5e
Pyrogoyf,fa87bf1e-2062-4983-b1c4-98bffea69a4c
Fable of the Mirror-Breaker,24c0d87b-0049-4beb-b9cb-6f813b7aa7dc
Headliner Scarlett,be77b98a-dd79-477c-8ab2-7ebf5637a89e
Luminarch Aspirant,fe964e7e-e2c5-4263-889d-0a531eb51442
Earthshaker Khenra,0d60eabe-b281-4eba-9c26-287364ed2067
Fateful Absence,eca8d6f8-c6f1-437c-99e2-4281eae14a6f
Elite Spellbinder,9d3a7998-ccac-45ad-a4e9-3a2cb057f63b
Cathar Commando,a8069994-b103-40dc-9e14-062004914ec8
Winds of Abandon,345a4aee-5846-4ae9-9af1-4c8fe8d692ec
Lightning Bolt,32a180dd-9641-4546-8940-9b21084f0c71
Static Prison,dd16222e-349c-4a2b-a7c8-8eb35a8ab332
Mana Tithe,7d48d622-f397-4f31-b1a5-0c23f60aa71c
Novice Inspector,0ad38866-fc5f-4f62-89c1-afc0f50765aa
Ocelot Pride,c86b8a75-9e31-4a44-95b8-c83b9a49646f
Mother of Runes,5b8ba842-c662-4686-bca3-93ddb7fa11a6
Sol Ring,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a
Guide of Souls,76c3cad2-1e25-4abe-878d-9194de6fcc27
Chrome Mox,6a058e68-70af-4a64-859c-c881e5578368
Den of the Bugbear,f231caf8-56c0-4719-a90d-5e5efbee3148
Plateau,1daf4348-05c5-4c55-bcf2-c7bec7988bfc
Mutavault,8ca3c48b-f104-4292-9a4e-2ce87a65893c
