name,scryfall_id
Finale of Devastation,985453e7-997e-4d77-a338-cc0290791ebe
Courser of Kruphix,8683a978-1bef-4b01-9361-56b1fc157d26
Fastbond,6151b583-3aa7-4be8-9d05-d5e53f19c6c9
Six,f9246b68-580f-4f53-883d-7900880e4b0d
Baloth Prime,2c723fc9-d5c9-4126-a9a6-f80c247a4b6b
Birds of Paradise,01e7b0bc-1c6c-48f4-8b72-1a809f536c6c
Craterhoof Behemoth,44afd414-cc69-4888-ba12-7ea87e60b1f7
Exploration,2b20d3e1-62ef-44db-8109-a33d4fa3e7f1
Llanowar Elves,01c6f877-6b00-4d57-8a88-36cd3b16edbc
Goldvein Hydra,de0e01e4-e143-47fd-8565-7b48219bb546
Traveling Chocobo,2462df62-fc35-47ed-9571-40452074dc6d
Greasewrench Goblin,c8f0b123-fdb0-4f3e-ba78-fa155c227e20
Badgermole Cub,340c5799-4964-44dd-8c48-8f3f3aba5211
"Kellan, Planar Trailblazer",f46a9329-7b91-441d-8653-50c1152c9120
"Bristly Bill, Spine Sower",52eef0d6-24b7-40b7-8403-e8e863d0cd55
Scavenging Ooze,487116ab-b885-406b-aa54-56cb67eb3ca5
Amped Raptor,1ac0e78b-0fdd-44f9-8b7b-c4f28a32782e
Shadowspear,939c6e19-4b27-4023-bb9c-ae440f91e21c
Ramunap Excavator,8870ef0b-cb1f-463b-8509-fece4743d3d4
Taiga,01006833-6007-4c16-9ebb-20d31c60a57a
Mox Sapphire,ea1feac0-d3a7-45eb-9719-1cdaf51ea0b6
Zuran Orb,3a9d1082-a862-45d4-9e5e-392e879fead6
Stomping Ground,4acf970d-d2d7-413d-aba7-587ee53d8d5c
Wrenn and Six,4a706ecf-3277-40e3-871c-4ba4ead16e20
Bountiful Landscape,b277752b-430a-4f09-8a98-b72f813dd52e
Formidable Speaker,265522eb-4f6a-40e7-b374-3833fa63c80b
"Minsc & Boo, Timeless Heroes",928036c9-11b8-493e-b9f2-8fbd3487cd19
