name,scryfall_id
Archon of Cruelty,1be9d9a4-d7ee-4854-abc2-85cabf993ec9
Mind Twist,5ad67b3c-cd5a-497b-8639-9b844e8d517a
Seasoned Pyromancer,2e139ad1-1079-49e9-babd-6399c44ad333
"Inti, Seneschal of the Sun",fa7a55aa-ae61-4933-b7a4-dcc55dac6fcd
Bone Shards,1ee98955-4c47-4d45-9377-608dfa755337
"Atraxa, Grand Unifier",4a1f905f-1d55-4d02-9d24-e58070793d3f
"Ivora, Insatiable Heir",2ba70366-b6ae-423a-a8d8-29d2b8afd939
Baleful Mastery,35f1a6ba-e46f-44fb-93f4-fb883d677b36
Griselbrand,b51666ae-2aef-4cb1-9cd4-44aec81530f8
Charming Scoundrel,c8090bcf-e17a-4110-a518-77ccd045b18f
Giver of Runes,4e117771-5a8b-4812-b487-32ba34b7f724
"Valgavoth, Terror Eater",7740ff55-67bb-409e-90f7-2c2c8b8c770a
"Ragavan, Nimble Pilferer",a9738cda-adb1-47fb-9f4c-ecd930228c4d
Swords to Plowshares,e58e681e-a069-4414-aafe-634c7987fd0d
Animate Dead,4c732dc7-dd6b-4cc1-bbe0-ff3b1d2c7419
Fiery Confluence,819a513c-3be6-4bdc-8ba6-1f7326a8f3ea
Get Lost,522aa72b-2b8c-484c-872b-f082101cee35
Necromancy,311a6257-dd77-4bb6-81cb-c8e7862350f3
Chain Lightning,89af0f45-c11c-4f13-9950-b1489440ee5b
Touch the Spirit Realm,e16ab44e-4257-4c0c-b705-8ac1e9c1d835
Reanimate,04fc99dc-bfbe-4567-b791-6b1db96471ec
Kolaghan's Command,7c884e1e-fecb-4330-b3de-5fc2a60f7173
Oliphaunt,6989018c-37b1-4282-a4af-9cc97f160b4d
Exhume,5f1cdcba-a04a-4a2f-8bc1-0dd7fa03754d
Elegant Parlor,72c6d541-e2cb-4d6e-acac-90a8f53b7006
Blood Crypt,1716b4dd-9045-462b-b053-72de450a8cde
Entomb,06c0c35d-a26e-473a-9206-8fbda7191700
Mox Pearl,ed0216a0-c5c9-4a99-b869-53e4d0256326
Shadowy Backstreet,69c1b656-1d67-499c-bf0f-417682a86c7d
