name,scryfall_id
Zealous Conscripts,df3784d4-80cd-4f78-afb3-d61f3bab5b2c
"Etali, Primal Conqueror",95c14c4d-6c16-4826-8d93-d89ad04aee09
Marauding Mako,9efbfd67-e0f5-43e0-9fff-1eb4a2bed0d8
Broadside Bombardiers,9721f8da-39ed-4ada-a571-61e08a86032b
Sneak Attack,207d5f12-fbc6-4c75-9d84-fd2f0023fbd0
"Gau, Feral Youth",89175ce1-0746-4ba1-970e-617d134b0527
Mishra's Factory,245cdc59-d560-4c10-b721-f51cc312e370
Bitter Reunion,345a1c80-41d6-43b1-83ab-1aa56dd06b1b
Triplicate Titan,568dd5a6-86f4-4039-87d7-812120c8ab94
"Ulamog, the Infinite Gyre",0645f487-efe5-4764-b361-85e07bb5ccca
Tarfire,d13a898e-6a97-4fd9-980e-3bfd8d755386
Glorybringer,3277ad99-5682-4baa-b106-de15721876a6
Arid Mesa,16c8d2fa-54a7-46e8-980c-905258497c90
"Chandra, Torch of Defiance",c7bbb911-9de2-455d-9677-e1004db65dbd
Blightsteel Colossus,18adbda4-8d36-47cd-afbc-c785aaa8ed80
Volcanic Spite,69490262-afc2-4692-8fac-b771a972c8f8
Suplex,f61693a2-7042-44e0-85ba-9bf12ab94e7e
Flame Slash,006d2bf1-20f7-4b09-8d98-8233d91682bd
Bonecrusher Giant,09fd2d9c-1793-4beb-a3fb-7a869f660cd4
"Laelia, the Blade Reforged",a3bb2881-e8fb-4fba-a9f9-d93e6ca24378
Through the Breach,6da09e6a-2965-4855-bd41-41b41ba188fb
Screaming Nemesis,ce35e6fb-ff54-44c4-a216-7ddd37f46882
Firebolt,3bd1ec98-8188-4649-899e-b0972509fc7e
Lotus Petal,9814d8e8-c462-41ca-9909-1c659f488543
Faithless Looting,671c008a-8ff8-42d7-9e03-6d8a9ddace67
"Magda, Brazen Outlaw",079e6263-e54c-4899-a336-5315909b9322
Tangle Wire,74d29b3d-f588-431d-bf4e-f7215683ab39
