name
Leyline Binding
Avacyn's Pilgrim
"Yavimaya, Cradle of Growth"
Fanatic of Rhonas
Misty Rainforest
Sylvan Caryatid
Hedge Maze
Esika's Chariot
Tireless Tracker
Pest Infestation
"Nadu, Winged Wisdom"
Staff of the Storyteller
Windswept Heath
"Boseiju, Who Endures"
Opposition
"Ajani, Nacatl Pariah"
Temple Garden
Hallowed Fountain
Hexdrinker
Noble Hierarch
Ketria Triome
Scalding Tarn
Mana Crypt
Occult Epiphany
Elvish Mystic
Jacked Rabbit
Sentinel of the Nameless City
Esper Sentinel
Ursine Monstrosity
Elder Gargaroth
Skullclamp
Gaea's Cradle
Delighted Halfling
Endurance
Flash
