name
Orcish Bowmasters
Darkstar Augur
LÃ³rien Revealed
"Teferi, Time Raveler"
Deep-Cavern Bat
Troll of Khazad-dÃ»m
Dack Fayden
Caustic Bronco
Urza's Saga
Xander's Lounge
Lingering Souls
Dragon's Rage Channeler
Volcanic Island
Fire Covenant
Fury
Stock Up
Underground Sea
Galvanic Discharge
Timetwister
Godless Shrine
Snuff Out
Prismatic Vista
Windfall
Imperial Seal
Polluted Delta
Abrade
Mox Ruby
Marsh Flats
Daze
Mox Diamond
Seething Landscape
Expressive Iteration
Lion's Eye Diamond
Underworld Breach
Multiversal Passage
Brain Freeze
