name
"Urza, Lord High Artificer"
Night Scythe
Porcelain Legionnaire
Basalt Monolith
"Ugin, Eye of the Storms"
Rishadan Port
Mishra's Workshop
Chaos Defiler
Stonecoil Serpent
Talisman of Creativity
The Aetherspark
Sacred Foundry
Everflowing Chalice
Savai Triome
Myr Battlesphere
Forth Eorlingas!
Grim Monolith
"Lightning, Army of One"
Wrath of God
Coveted Jewel
Cathartic Pyre
Expedition Map
Forensic Gadgeteer
Shattered Landscape
"Tezzeret, Cruel Captain"
PalantÃ­r of Orthanc
The Tabernacle at Pendrell Vale
Fellwar Stone
Tolarian Academy
The One Ring
