name,scryfall_id
Ignoble Hierarch,9417f14c-a853-42c6-a992-29139484260a
Sowing Mycospawn,cdfadb17-76ad-4d4d-9fa7-33c4b88b4c0a
Ouroboroid,209c591a-4ab2-4e89-9523-a7b766cf4e51
Woodfall Primus,43aa7e35-55ee-4e02-a8aa-ea2b267055d1
"Nissa, Who Shakes the World",41e108a5-4e2f-42cf-9ea1-87bf3c0a2b7f
Natural Order,0845f0b0-9413-4ddd-861d-9607636bebc6
Green Sun's Zenith,01794178-cf41-454c-ac37-1d8b18e42db2
Alpha Deathclaw,ca4c8b04-66af-4cb3-8003-9088d8344b20
Mox Jet,5f6927e1-c580-483a-8e2a-6e2deb74800e
"Titania, Protector of Argoth",224d904a-5972-4152-878a-9a922e7a55b6
Mox Poison,22c26e44-e129-4c4d-b552-3cc8774ce1a4
"Grist, the Hunger Tide",69af2825-18c2-4463-b6ba-42eaa070ccc1
Unstoppable Slasher,c78da035-6b5b-4136-9ab6-f622b64fdc54
Deep Forest Hermit,96c5607b-55fe-43c2-93fe-0084d84499d9
Oracle of Mul Daya,5de097e5-e960-4404-a370-defe93ce892f
Underground Mortuary,f6ca59cd-8779-4a84-a54b-e863b79c61f0
Commune with Beavers,784287c2-43c5-4210-93ae-cdd33b9acb1b
Gilded Goose,30377bf0-d9b1-4c14-8dde-f74b1e02d604
Vaultborn Tyrant,62b3f560-262b-4bc3-9aef-535fd7082c28
Questing Beast,e41cf82d-3213-47ce-a015-6e51a8b07e4f
Gleemox,e6d7fba8-a157-4d81-9d6b-bd210a96b248
Abrupt Decay,3b1e92b4-6e53-4dba-a572-c67e01965ac5
Birthing Ritual,4820d223-4ea1-4850-931c-3d2ab5eb003b
Sylvan Library,3003d481-1b52-4aa9-bbdc-e948fbc8d49d
Court of Garenbrig,d7a8cc1d-aabb-4eb6-b0f1-6c93ec246f61
Dark Ritual,493a5ca7-5f90-4af4-b6db-43ae09a2f2c9
"Surrak, Elusive Hunter",e4775a26-0b66-40e9-8f64-41d9308ca032
