name,scryfall_id
The Goose Mother,1a55c370-d396-4c73-8ee2-83dc4c124005
Thieving Skydiver,ff84ea71-e477-44f7-a3f8-77fef708efeb
"Sheoldred, the Apocalypse",d67be074-cdd4-41d9-ac89-0a0456c4e4b2
Memory Jar,37dbe1a3-3c44-452b-9fb9-37f5d793d0b5
Ertai Resurrected,7f7e780e-fbc5-4dc0-b5c7-efcb8645c7c6
Sylvan Library,3003d481-1b52-4aa9-bbdc-e948fbc8d49d
Ledger Shredder,7ea4b5bc-18a4-45db-a56a-ab3f8bd2fb0d
"Nadu, Winged Wisdom",94b67489-5eb0-4406-9bf3-27e50dc632eb
Mox Sapphire,ea1feac0-d3a7-45eb-9719-1cdaf51ea0b6
"Bristly Bill, Spine Sower",52eef0d6-24b7-40b7-8403-e8e863d0cd55
Jack-in-the-Mox,1834ac92-8b4e-4442-a834-acd580e1ef99
Arcane Denial,b0c5728e-43e7-417a-ba18-5038345cec67
Traveling Chocobo,2462df62-fc35-47ed-9571-40452074dc6d
Smirking Spelljacker,01d1e394-1b0c-4b40-ba85-f55973703d41
Lotus Cobra,19adde22-e5eb-4815-beb6-c520b3274cc9
Snapcaster Mage,4cbdacc1-7a1b-4633-85f5-eb50c2bf406d
Windfall,2aef4608-5ba8-4636-b5e7-cac57c5c0608
Baleful Mastery,35f1a6ba-e46f-44fb-93f4-fb883d677b36
Gilded Goose,30377bf0-d9b1-4c14-8dde-f74b1e02d604
"Leovold, Emissary of Trest",49bb0ad3-1082-41f1-82a4-52a4006cc9b6
Frantic Search,441f8b2f-c8cb-4340-a92f-116c2276e906
Mana Leak,247939d9-87e9-4f01-b223-fb4cfa7dbbe1
Vampiric Tutor,18bd50f2-c3ba-4217-a2d5-bb771e199706
Assassin's Trophy,906b6e99-128f-4c11-8daf-16099d35b0d4
Repeal,4acaef84-55d1-43dc-b10a-696182e6709b
