name,scryfall_id
"Toby, Beastie Befriender",f33d3948-fe7b-4c3b-ab67-1022623fbb2b
Mother of Runes,5b8ba842-c662-4686-bca3-93ddb7fa11a6
Intrepid Adversary,773199f9-c83b-4a77-8342-9f1552ecf595
Flickerwisp,5bb3cb5c-8d66-4f5e-a9a9-917e6045f024
Novice Inspector,0ad38866-fc5f-4f62-89c1-afc0f50765aa
Phyrexian Revoker,6982a82c-dd32-40d2-8dd2-ec92d0fc6c2d
Stonecoil Serpent,b34bf7fd-9fe3-43e2-8cfe-7ce7cff08afe
Cathar Commando,a8069994-b103-40dc-9e14-062004914ec8
Skyclave Apparition,b83cfbaa-7890-4f6f-878b-4edb45677371
Mana Tithe,7d48d622-f397-4f31-b1a5-0c23f60aa71c
Orcish Bowmasters,7c024bae-5631-4e20-ac69-df392ac9e109
Recruiter of the Guard,bb9ad57f-cca2-4717-a951-cbe3c7782efe
Thoughtseize,310a1c46-8331-4a09-9fcb-d942f8102364
Fateful Absence,eca8d6f8-c6f1-437c-99e2-4281eae14a6f
Enduring Innocence,08f79439-b8f8-418f-9772-26d81844749e
Unwanted Remake,7b54447f-1daf-4352-b5c3-3c0ec8b8f4d0
Restoration Angel,3b5233ff-03bc-4053-9b49-c4185c2de38d
Long Goodbye,c3896705-bbd2-4ffb-a590-ee78e0eabdc5
Static Prison,dd16222e-349c-4a2b-a7c8-8eb35a8ab332
Council's Judgment,17f28b16-da65-41a8-ba4f-f1c5e104aad6
Palace Jailer,78cef262-c753-4658-b3ec-fec8db47f944
Mishra's Factory,245cdc59-d560-4c10-b721-f51cc312e370
"Beza, the Bounding Spring",fc310a26-b6a0-4e42-98ab-bdfd7b06cb63
Toxic Deluge,564caf57-4ba5-4993-a35e-945699c94eb7
Mishra's Bauble,8a720448-017f-4f4a-9501-678245eaed17
Shadowy Backstreet,69c1b656-1d67-499c-bf0f-417682a86c7d
Mox Pearl,ed0216a0-c5c9-4a99-b869-53e4d0256326
Raffine's Tower,a2c56479-4bee-4edb-80d7-4af010b7c793
