name,scryfall_id
"Rofellos, Llanowar Emissary",6aa5cc65-f8f1-4f6f-8b4e-2fedccbda684
Lurrus of the Dream-Den,5ad36fb2-c44e-4085-ba0d-54277841ad3a
Recurring Nightmare,b50e1800-a45c-43bd-8886-8a06145d9346
Exploration,2b20d3e1-62ef-44db-8109-a33d4fa3e7f1
Zagoth Triome,cc520518-2063-4b57-a0d4-10cf62a7175e
Unearth,b6cb2549-e485-44d6-9d65-7605c568909e
Old One Eye,b5aaaee0-9a61-45df-821e-cce516f8de6a
Commercial District,bf220c06-3cce-4bdd-aa58-83940c223e9c
Metamorphosis Fanatic,16448d95-ee21-4def-b880-26f6f159c213
End-Raze Forerunners,a50d79fe-6d37-42f3-b7b0-0c3018282fa2
Gaea's Cradle,25b0b816-0583-44aa-9dc5-f3ff48993a51
Scythecat Cub,b3dd3c7d-4685-4579-b483-14ddaaaddf5b
Ancestral Recall,2398892d-28e9-4009-81ec-0d544af79d2b
Wasteland,99ff731b-8399-40c8-b539-ba6ba5783771
Crop Rotation,15c34f32-49d9-4a0d-83b2-28172f54fdd1
Suplex,f61693a2-7042-44e0-85ba-9bf12ab94e7e
Bountiful Landscape,b277752b-430a-4f09-8a98-b72f813dd52e
Sylvan Safekeeper,f1b8413f-c9fc-4cea-b416-a1fcf651b009
Abrade,24da9431-7e52-44f5-bc18-2f2d8a4ca81e
Twisted Landscape,d0e3e7b3-7ba9-47a2-b46c-a40bffb445e2
Ramunap Excavator,8870ef0b-cb1f-463b-8509-fece4743d3d4
Imperial Recruiter,05bd329b-5707-42fc-af1c-084cc604e805
Fabled Passage,b841bfa8-7c17-4df2-8466-780ab9a4a53a
Faithless Looting,671c008a-8ff8-42d7-9e03-6d8a9ddace67
Oracle of Mul Daya,5de097e5-e960-4404-a370-defe93ce892f
Scalding Tarn,327cf118-cc92-4073-85d0-94d2a0a6989a
PalantÃ­r of Orthanc,6efb6a69-562c-4d95-858d-b067444cfd7e
Tireless Tracker,ee8e9928-d9b2-4570-adb8-44b34115decd
Taiga,01006833-6007-4c16-9ebb-20d31c60a57a
Craterhoof Behemoth,44afd414-cc69-4888-ba12-7ea87e60b1f7
Six,f9246b68-580f-4f53-883d-7900880e4b0d
Jetmir's Garden,26d40e03-6de4-4373-9fbf-04c1dd79e995
Icetill Explorer,d9482aab-6ddf-48e1-84fa-b13d5ff81e69
