name,scryfall_id
Watery Grave,139b90cd-8272-457a-be32-1298145345be
Psychic Frog,68924203-c3d9-41ce-8ca8-c6dd491eb3ca
"Wan Shi Tong, All-Knowing",777fcc21-2856-4181-8ecd-c272f9769e36
Undercity Sewers,2b5801fb-2026-4f25-98bc-ebb2f99684b9
Baleful Strix,06cb1bd6-73e0-4104-b344-4bc52d7dcedf
Tinker,1e2fee55-227b-4373-a3f7-b463f220033f
Phyrexian Metamorph,d2e27911-87cb-49a0-a34f-6afe4bddd592
Raugrin Triome,02138fbb-3962-4348-8d31-faaefba0b8b2
Pentad Prism,672b9b16-daef-44e6-9a3a-cfd9f3c78bc7
"Urza, Lord High Artificer",9e7fb3c0-5159-4d1f-8490-ce4c9a60f567
Prismatic Vista,1ac01fff-4de6-4783-9489-4127e25bc641
Mind Stone,162e81d3-6cd4-4cb8-8ed8-cfbd8d34ca71
Talisman of Creativity,4d9dbadd-c1b6-44fe-92ac-6f69d7178342
Mox Poison,22c26e44-e129-4c4d-b552-3cc8774ce1a4
"Kaito, Bane of Nightmares",55a14f30-4ff9-4472-90a6-c3139f1c18e5
Kolaghan's Command,7c884e1e-fecb-4330-b3de-5fc2a60f7173
"Jace, the Mind Sculptor",0e606072-a3aa-4300-ba90-ec92a721fa76
Lotus Petal,9814d8e8-c462-41ca-9909-1c659f488543
Prismari Command,866b7fd4-86e3-4b42-b1ea-33bad0db1f9f
"Karn, Scion of Urza",07a3d9e8-8597-498b-869c-cff79e0df516
Fatal Push,5427d8a6-ac9e-4e50-bd39-81713b2ade25
Firebolt,3bd1ec98-8188-4649-899e-b0972509fc7e
Wurmcoil Engine,33672990-4860-4aa6-ac1b-f9da66f5da59
Daze,f05e9a3e-8a35-4687-85cb-e31b3927a5e2
Heartless Act,e4e6794a-feeb-4fc8-a2ee-38c75c18aaae
Miscalculation,4b4956a2-9a39-4152-9c98-70e4b2acfa26
Quantum Riddler,120be808-ff3b-4fca-96a1-4db6b9825856
Mana Drain,416d2d51-8f29-4e95-b037-e8c32b081e6c
