name,scryfall_id
Sentinel of the Nameless City,eeeffc0b-dc92-458e-ad58-86ff6077a508
Sensei's Divining Top,4a08ca06-58db-4ce6-b490-be4bea8956a1
Flame Slash,006d2bf1-20f7-4b09-8d98-8233d91682bd
Mox Sapphire,ea1feac0-d3a7-45eb-9719-1cdaf51ea0b6
Contaminated Landscape,e2312c49-1627-47ad-8113-78a999a97d8d
Mana Confluence,504a69eb-3c2d-4bb1-b117-252b15acf0c2
Starting Town,fc7d1912-7e27-49ef-bd98-375d975a42b0
Fabled Passage,b841bfa8-7c17-4df2-8466-780ab9a4a53a
Pentad Prism,672b9b16-daef-44e6-9a3a-cfd9f3c78bc7
Zagoth Triome,cc520518-2063-4b57-a0d4-10cf62a7175e
Orcish Bowmasters,7c024bae-5631-4e20-ac69-df392ac9e109
Badlands,377cee38-e769-47b0-abd5-0f528600f36a
Breeding Pool,19477aca-b8db-4061-9a78-ebb189a9df22
Bountiful Landscape,b277752b-430a-4f09-8a98-b72f813dd52e
Damnation,26c68473-70ca-40ba-b5c6-71ec30f88a2c
Tarfire,d13a898e-6a97-4fd9-980e-3bfd8d755386
"Leovold, Emissary of Trest",49bb0ad3-1082-41f1-82a4-52a4006cc9b6
Vampiric Tutor,18bd50f2-c3ba-4217-a2d5-bb771e199706
Nethergoyf,3ee3945e-5089-4751-b7b3-5961c39d2a33
Ancestral Recall,2398892d-28e9-4009-81ec-0d544af79d2b
Relic of Sauron,175b3d28-5c74-4972-9b5c-5e39762c78f4
Esika's Chariot,a87606cc-fbf0-4e2c-9798-f1c935d0573d
Wheel of Fortune,3f3c77ad-fce8-4506-90e1-7ef71552a71c
Chaos Defiler,1c0f2873-5849-4cab-855a-2fbbc41dbb6c
Mana Leak,247939d9-87e9-4f01-b223-fb4cfa7dbbe1
Jack-in-the-Mox,1834ac92-8b4e-4442-a834-acd580e1ef99
Talisman of Curiosity,fd52688a-39fd-430f-b950-cb56e0004396
Coalition Relic,02c532e8-21f1-4d6f-a931-1ea48a6aeea2
Mind Twist,5ad67b3c-cd5a-497b-8639-9b844e8d517a
Raucous Theater,b598c93e-dae1-4d71-a9e4-917abf76d2d0
"Oko, Thief of Crowns",3462a3d0-5552-49fa-9eb7-100960c55891
Force of Negation,e9be371c-c688-44ad-ab71-bd4c9f242d58
