name,scryfall_id
Scrubland,14065271-d942-42a8-aa38-d8a622c0375d
"Malcolm, Alluring Scoundrel",19d6834d-afa3-4747-a62d-0654f4d9729f
Chrome Mox,6a058e68-70af-4a64-859c-c881e5578368
Underground Sea,068bb15a-fc2d-42a2-859b-837b946d23c0
Ponder,3c02b8ee-84cb-44cb-ba14-9e725a9d03ee
Baleful Mastery,35f1a6ba-e46f-44fb-93f4-fb883d677b36
Volcanic Island,0324641d-af55-4c53-b4dc-c8262e967da5
Expressive Iteration,31b770cc-09e7-4c0b-b2a4-462ab4f7200d
Suplex,f61693a2-7042-44e0-85ba-9bf12ab94e7e
"Laelia, the Blade Reforged",a3bb2881-e8fb-4fba-a9f9-d93e6ca24378
Generous Plunderer,4c6cf93a-d073-48ac-88db-c46bf3e10beb
Oliphaunt,6989018c-37b1-4282-a4af-9cc97f160b4d
"Wan Shi Tong, Librarian",e20da6b5-1057-4a28-9e85-07de714e262f
"Gut, True Soul Zealot",3d8ca18d-9099-4f1e-95c1-f04da58a26bd
White Plume Adventurer,b256ddc8-8b12-434c-a610-1a872e948f2f
Abrade,24da9431-7e52-44f5-bc18-2f2d8a4ca81e
Spell Pierce,53d4fd57-74b6-42c7-88b1-110e5a8dfc3c
Cori-Steel Cutter,490eb213-9ae2-4b45-abec-6f1dfc83792a
Lightning Bolt,32a180dd-9641-4546-8940-9b21084f0c71
Containment Priest,a24e8dba-5c86-4e32-8a52-61402f7fe9f0
Multiversal Passage,f5fb426a-5618-4dd4-9c51-0cc847be8c1d
Astrologian's Planisphere,bfa4e927-1d6f-4a64-9801-7d168a5ef3f6
"Kaito, Bane of Nightmares",55a14f30-4ff9-4472-90a6-c3139f1c18e5
Legion Extruder,5a077de0-1893-40d0-a499-ee2e6e2258f1
Counterspell,0c9a7cb0-5bff-48ff-b620-2838816ac9b5
Spara's Headquarters,229a0d4a-3777-451d-a2fb-f1a2fdf8019f
Snapcaster Mage,4cbdacc1-7a1b-4633-85f5-eb50c2bf406d
Troll of Khazad-dÃ»m,a6539e26-b63b-4725-9407-caaf451de084
Strix Serenade,5eccf31d-869d-4003-a92b-71b4f4b479ee
"Wan Shi Tong, All-Knowing",777fcc21-2856-4181-8ecd-c272f9769e36
Vendilion Clique,01978fe5-00a9-4add-ae2a-b4c2572ffb9a
Fallen Shinobi,900c9dfd-ece1-4b09-a801-0fa05e1994b9
