name,scryfall_id
"Teferi, Time Raveler",5cb76266-ae50-4bbc-8f96-d98f309b02d3
Raffine's Tower,a2c56479-4bee-4edb-80d7-4af010b7c793
Ancient Tomb,bd3d4b4b-cf31-4f89-8140-9650edb03c7b
Get Lost,522aa72b-2b8c-484c-872b-f082101cee35
Shadowy Backstreet,69c1b656-1d67-499c-bf0f-417682a86c7d
Fractured Identity,8db735ea-f9cf-4e3c-9200-4f180df55baa
Underworld Breach,0e51d796-7279-4c06-87f0-37adbdaa41df
Yawgmoth's Will,efda91fa-03b2-4fb4-ae07-b45f6c6d3eab
Force of Will,ebc01ab4-d89a-4d25-bf54-6aed33772f4b
Balance,ce648aa3-098b-4af0-a433-fd290bc85904
Tishana's Tidebinder,907b3d1d-8c85-4707-80b5-c4d832df9846
Shelldock Isle,4216656e-90e8-45fc-a0f6-0d0d79d0a021
Brain Freeze,3a2d7cf9-dddb-4de3-b4f2-c52e3ec8fb4b
Hallowed Fountain,af7091c9-5f98-4078-a42b-c9e057346d9b
Mystic Confluence,cf3eb762-6c3f-4b11-a4f9-968f79370217
Imperial Seal,5ab21006-7f61-49e0-8b6a-0397c5d4c3bd
Stock Up,0a786855-6eb4-42c0-a528-4842db46809d
"Teferi, Hero of Dominaria",5d10b752-d9cb-419d-a5c4-d4ee1acb655e
Novice Inspector,0ad38866-fc5f-4f62-89c1-afc0f50765aa
Steam Vents,054f2276-2dd5-43da-bb26-c57c560861fe
"Beza, the Bounding Spring",fc310a26-b6a0-4e42-98ab-bdfd7b06cb63
Brainstorm,0359f212-9564-41a9-870b-d2c57455a695
Timetwister,94c6fdd8-21e7-48ae-aa05-a3666b928c1a
Consider,a211d505-4d40-4914-a9da-220770d6ddbc
"Tamiyo, Inquisitive Student",2a717b98-cdac-416d-bf6c-f6b6638e65d1
Preordain,1453f92e-df2d-4789-aa1b-a5b5c51567d4
Lion's Eye Diamond,758f95f8-bcb0-43ae-b474-56ebd855951e
Sol Ring,073bfdca-d7b8-4f4b-93f3-6e7c44bc0b0a
LÃ³rien Revealed,0ce44270-a684-4489-9077-521456e6dfaa
Mox Ruby,45fd6e91-df76-497f-b642-33dc3d5f6a5a
Scalding Tarn,327cf118-cc92-4073-85d0-94d2a0a6989a
Mishra's Bauble,8a720448-017f-4f4a-9501-678245eaed17
Elegant Parlor,72c6d541-e2cb-4d6e-acac-90a8f53b7006
Marsh Flats,45026d57-0324-4312-8b86-2e7d4f581ee9
