name,scryfall_id
Elvish Mystic,60d0e6a6-629a-45a7-bfcb-25ba7156788b
Misty Rainforest,24a5cc2c-0fbf-4a5f-b175-6e0ffd0d0787
Reclamation Sage,0eee981e-5d26-4810-90e1-432f3c3107f2
Birds of Paradise,01e7b0bc-1c6c-48f4-8b72-1a809f536c6c
Twisted Landscape,d0e3e7b3-7ba9-47a2-b46c-a40bffb445e2
Tireless Tracker,ee8e9928-d9b2-4570-adb8-44b34115decd
Llanowar Elves,01c6f877-6b00-4d57-8a88-36cd3b16edbc
Arid Mesa,16c8d2fa-54a7-46e8-980c-905258497c90
Endurance,1fc6d14a-1328-4032-ad9e-cd85cd365bd3
Sylvan Safekeeper,f1b8413f-c9fc-4cea-b416-a1fcf651b009
Savannah,0e9aeaa8-9a75-4719-992f-cbb316f72175
Courser of Kruphix,8683a978-1bef-4b01-9361-56b1fc157d26
Delighted Halfling,71384418-173a-4f77-adab-56e52fa23692
Temple Garden,2b9b0195-beda-403e-bc27-7ae3be9f318c
Ouroboroid,209c591a-4ab2-4e89-9523-a7b766cf4e51
"Nissa, Who Shakes the World",41e108a5-4e2f-42cf-9ea1-87bf3c0a2b7f
Malevolent Rumble,a178cfe8-f9fa-4255-88d0-54a0bed079f5
"Titania, Protector of Argoth",224d904a-5972-4152-878a-9a922e7a55b6
Icetill Explorer,d9482aab-6ddf-48e1-84fa-b13d5ff81e69
Fanatic of Rhonas,1f9fb33a-3b39-4aff-93b8-aedafe0ea694
Craterhoof Behemoth,44afd414-cc69-4888-ba12-7ea87e60b1f7
Natural Order,0845f0b0-9413-4ddd-861d-9607636bebc6
Lotus Cobra,19adde22-e5eb-4815-beb6-c520b3274cc9
End-Raze Forerunners,a50d79fe-6d37-42f3-b7b0-0c3018282fa2
Baloth Prime,2c723fc9-d5c9-4126-a9a6-f80c247a4b6b
"Atraxa, Grand Unifier",4a1f905f-1d55-4d02-9d24-e58070793d3f
Badgermole Cub,340c5799-4964-44dd-8c48-8f3f3aba5211
Scavenging Ooze,487116ab-b885-406b-aa54-56cb67eb3ca5
Mox Diamond,fadb218d-29e2-42d1-a7a1-1066741d63ad
