name,scryfall_id
Mox Pearl,ed0216a0-c5c9-4a99-b869-53e4d0256326
Chart a Course,1a6f256b-943e-4cfb-9fc9-d1ded68b5f97
Time Walk,a1febcf1-afa4-4406-9ac1-5bf98b2765d2
Mana Vault,d6ec3293-b09e-4931-ac4e-dc5eac0ca004
Tinker,1e2fee55-227b-4373-a3f7-b463f220033f
Ledger Shredder,7ea4b5bc-18a4-45db-a56a-ab3f8bd2fb0d
Lotus Petal,9814d8e8-c462-41ca-9909-1c659f488543
Hullbreacher,4df8aabc-7fcb-4b7b-980b-18f499e6c170
Pyroclasm,0c0e7131-db26-448d-afda-f48337a026f0
Nettlecyst,4a0bb5dc-75a6-4bd6-81f8-611197fb0fba
Urza's Saga,c1e0f201-42cb-46a1-901a-65bb4fc18f6c
Phantasmal Image,98e7bf8f-dba7-4005-8cee-634c9153931d
Batterskull,b7f16fdf-a3f5-462d-a64a-789d893b6ef5
Grim Monolith,0c3bc412-689f-4385-807b-ed60d6276d76
Library of Alexandria,e5145f31-a4ac-44ef-8f85-e4d95f2c9ff5
Memory Jar,37dbe1a3-3c44-452b-9fb9-37f5d793d0b5
Talisman of Progress,41ff849e-2439-4690-8aa4-769039b6da4c
Tolarian Academy,fd99bce1-ce39-464b-8e61-2631eb3ed6f6
Quantum Riddler,120be808-ff3b-4fca-96a1-4db6b9825856
Talisman of Dominance,991037a2-fea2-49f5-8ace-ebbf9f678cff
Shadowspear,939c6e19-4b27-4023-bb9c-ae440f91e21c
Wurmcoil Engine,33672990-4860-4aa6-ac1b-f9da66f5da59
Mishra's Workshop,aac0c8df-f01d-4178-8d66-ee603f814d24
Chain Lightning,89af0f45-c11c-4f13-9950-b1489440ee5b
Myr Battlesphere,05e8a4ea-8c0d-4284-ac23-80e19fdde11d
"Otawara, Soaring City",486d7edc-d983-41f0-8b78-c99aecd72996
Retrofitter Foundry,5da578b8-19e6-4068-9336-e7cd33c585f1
Xander's Lounge,54f449ff-4025-465e-9ec5-a5cf42c4c9d3
Portal to Phyrexia,5f608efc-0dbc-4cc3-aadd-ed473bfc29ab
Pyrite Spellbomb,97b9bab9-12ee-4da5-9d53-d0b82d9279cd
Perilous Landscape,4b0bd07e-cf80-4d64-af29-f4cec6632b3e
