name,scryfall_id
"Etali, Primal Conqueror",95c14c4d-6c16-4826-8d93-d89ad04aee09
Miscalculation,4b4956a2-9a39-4152-9c98-70e4b2acfa26
Triplicate Titan,568dd5a6-86f4-4039-87d7-812120c8ab94
Mana Drain,416d2d51-8f29-4e95-b037-e8c32b081e6c
Tangle Wire,74d29b3d-f588-431d-bf4e-f7215683ab39
Dack Fayden,10158a5e-5a03-41ab-85d2-0907ccf32c9b
Remand,0027e5ca-8046-40a0-bd73-79be55f28bff
"Jace, Vryn's Prodigy",02d6d693-f1f3-4317-bcc0-c21fa8490d38
Currency Converter,187b6719-e5ed-4615-a00b-3313ceca055b
Echo of Eons,ff590af2-2d6c-4f16-a9b8-1a6dab6e9ad5
Murktide Regent,20c4aae1-7665-4df7-bd51-a1d95bf8a17d
"Saheeli, Sublime Artificer",5a10b543-d5d4-42a8-9ee8-dada59a2ad7e
Repeal,4acaef84-55d1-43dc-b10a-696182e6709b
Flooded Strand,8c2996d9-3287-4480-8c04-7a378e37e3cf
Mox Emerald,aced2c55-7543-4076-bcdd-36c4d649b8ae
Sneak Attack,207d5f12-fbc6-4c75-9d84-fd2f0023fbd0
Volcanic Spite,69490262-afc2-4692-8fac-b771a972c8f8
"Torsten, Founder of Benalia",0783b426-a527-42c1-9271-be28b229e1c6
Stern Scolding,3ca1e1de-b916-445f-b3b2-0f4d0cc7ceeb
"Urza, Lord High Artificer",9e7fb3c0-5159-4d1f-8490-ce4c9a60f567
Flash,63af3c26-5b1f-46f6-9aa2-036c615bf5ea
Third Path Iconoclast,f1a21287-e244-4960-84fb-c4f6e5c346d9
Skullclamp,005dae9a-dddc-4a11-95bb-cce319edcce4
Lose Focus,985bdb0c-ce6c-4506-8163-76f3b2fdf5fb
Brazen Borrower,c2089ec9-0665-448f-bfe9-d181de127814
Prismari Command,866b7fd4-86e3-4b42-b1ea-33bad0db1f9f
Thundering Falls,17260fff-b239-4af4-9306-3236ae3fa5a5
