name
Faerie Mastermind
Dreams of Steel and Oil
"Otawara, Soaring City"
Counterspell
Verdant Catacombs
Mesmeric Fien(
Cryptic Coat
Jack-in-the-Mox
Fatal Push
"Kaito,Bane 0f Nightmates"
Thieving Skydiver
Evolved Sleeper
Ancestral Recall
Dauthi Voidwalker
Mox Emerald
Umezawa's Jitte
Bloodchief'$ Thirst
Nethergoyf
Spell Pierce
"Jace,the Mind Sculptor"
Inquisition of Kozilek
Brazen Borrower
Leg
Mystic Confluence
Phyrexian Metamorph
Preacher of the Schism
Quantum Riddler
Sheoldred $ Edict
Toxic Deluge
