name
Abrade
Brain Freeze
Caustic Bronco
Dack Fayden
Darkstar Augur
Daze
Deep-Cavern Bat
Dragon's Rage Channeler
Expressive Iteration
Fire Covenant
Fury
Galvanic Discharge
Godless Shrine
Imperial Seal
Lingering Souls
Lion'$ Eye Diamond
Lorien Revealed
Marsh Flats
Mox Diamond_
Mox Ruby
Multiversal Passage__
Orcish Bowmasters
Polluted Delta
Prismatic Vista
Seething Landscape_
Snuff Out
Stock
"Teferi, Time Raveler"
Timetwister
Troll of Khazad-dum
Underground Sea
Underworld Breach
Urza's Saga
Volcanic Island
Windfall
Xander' $ Lounge
