status,official_name,ocr_input,note
exact,Flickerwisp,Flickerwisp,
exact,Charming Prince,Charming Prince,
corrected,"Tamiyo, Inquisitive Student",Tamiyo.Inquisitive Student,corrected from: Tamiyo.Inquisitive Student
corrected,"Toby, Beastie Befriender",Toby. Beastie Befriender,corrected from: Toby. Beastie Befriender
exact,Thraben Inspector,Thraben Inspector,
exact,Voice of Victory,Voice of Victory,
exact,Solitude,Solitude,
exact,Soulherder,Soulherder,
exact,Reprieve,Reprieve,
corrected,Sleight of Hand,(Sleight of Hand,corrected from: (Sleight of Hand
exact,White Plume Adventurer,White Plume Adventurer,
exact,Lose Focus,Lose Focus,
corrected,Path to Exile,Path t0 Exile,corrected from: Path t0 Exile
corrected,"Adeline, Resplendent Cathar",Adeline; Resplendent Cathar 168,corrected from: Adeline; Resplendent Cathar 168
corrected,Mana Drain,Drain,corrected from: Drain
exact,Oust,Oust,
exact,Parallax Wave,Parallax Wave,
corrected,"Wan Shi Tong, All-Knowing","Wan Shi Tong,AlI-Knowing","corrected from: Wan Shi Tong,AlI-Knowing"
exact,Force of Will,Force of Will,
corrected,"Teferi, Hero of Dominaria",Teferi; Hero of Dominaria,corrected from: Teferi; Hero of Dominaria
exact,Mana Confluence,Mana Confluence,
corrected,Council's Judgment,Councils ludgment,corrected from: Councils ludgment
corrected,"Beza, the Bounding Spring",Beza_ the Bounding Spring,corrected from: Beza_ the Bounding Spring
exact,Meticulous Archive,Meticulous Archive,
exact,Force of Negation,Force of Negation,
exact,Flooded Strand,Flooded Strand,
exact,Tundra,Tundra,
exact,Karakas,Karakas,
exact,Library of Alexandria,Library Of Alexandria,
exact,Starting Town,Starting Town,
unmatched,,Legendary Land,no match found
unmatched,,Add,no match found
unmatched,,Land,no match found
unmatched,,Land Town,no match found
unmatched,,Retumn target legendary creature,no match found
unmatched,,[0 ILS owner $ hand.,no match found
unmatched,,"Mirst , This Add Pay land enters tapped second, or third turn Of the life: Add one mana of unless it""$ your any game. color:",no match found
unmatched,,only if you in hand. Add Draw have card. Activate this ability exactly seven cards,no match found
unmatched,,"0 ighetarhalli""c tils the torld, four Warriors",no match found
unmatched,,of Light shall coie,no match found
