status,official_name,ocr_input,note
corrected,Archon of Cruelty,Archon ' of Cruelty,corrected from: Archon ' of Cruelty
corrected,Mind Twist,"Mind"" Twist","corrected from: Mind"" Twist"
exact,Seasoned Pyromancer,Seasoned Pyromancer,
exact,"Inti, Seneschal of the Sun","Inti, Seneschal of the Sun",
exact,Bone Shards,Bone Shards,
corrected,"Atraxa, Grand Unifier",Atraxa. Grand Unifier,corrected from: Atraxa. Grand Unifier
corrected,"Ivora, Insatiable Heir",Ivora: Insatiable Heir,corrected from: Ivora: Insatiable Heir
exact,Baleful Mastery,Baleful Mastery,
exact,Griselbrand,Griselbrand,
exact,Charming Scoundrel,Charming Scoundrel,
exact,Giver of Runes,Giver of Runes,
corrected,"Valgavoth, Terror Eater",Valgavoth Terror Eater,corrected from: Valgavoth Terror Eater
corrected,"Ragavan, Nimble Pilferer",RagavanNimble Pilferer,corrected from: RagavanNimble Pilferer
exact,Swords to Plowshares,Swords to Plowshares,
exact,Animate Dead,Animate Dead,
exact,Fiery Confluence,Fiery Confluence,
exact,Get Lost,Get Lost,
exact,Necromancy,Necromancy,
exact,Chain Lightning,Chain Lightning,
exact,Touch the Spirit Realm,Touch the Spirit Realm,
exact,Reanimate,Reanimate,
corrected,Kolaghan's Command,Kolaghans Command,corrected from: Kolaghans Command
exact,Oliphaunt,Oliphaunt,
exact,Exhume,Exhume,
exact,Elegant Parlor,Elegant Parlor,
exact,Blood Crypt,Blood Crypt,
exact,Entomb,Entomb,
exact,Mox Pearl,Mox Pearl,
corrected,Shadowy Backstreet,Shadowx Backstreet,corrected from: Shadowx Backstreet
unmatched,,Instant,no match found
unmatched,,Artilact,no match found
unmatched,,Search your library for # card and put,no match found
unmatched,,that card into your graveyurd. Then,no match found
unmatched,,shuflle your library.,no match found
unmatched,,"""TUreturn once Vou ve ripened",no match found
unmatched,,Add 8,no match found
unmatched,,Ghoulcaller Gisa,no match found
unmatched,,"Jour card 0f your Subrveil battlefield, When battlefield Shadowy Land (~:Add graveyard ) Shadowy Plains Backstreet ' library: tapped. Swamp Backsueet You may (Look enters Put It into entets the Iop thee",no match found
