status,official_name,ocr_input,note
exact,Hullbreacher,Hullbreacher,
exact,Remand,Remand,
exact,Watery Grave,Watery Grave,
exact,Barrowgoyf,Barrowgoyf,
exact,Contaminated Landscape,Contaminated Landscape,
exact,Mana Leak,Mana Leak,
exact,"Narset, Parter of Veils","Narset, Parter of Veils",
exact,Badlands,Badlands,
exact,Miscalculation,Miscalculation,
corrected,Scrawling Crawler,Scrawling Crawler_,corrected from: Scrawling Crawler_
exact,Duress,Duress,
exact,Demonic Tutor,Demonic Tutor,
corrected,"Sheoldred, the Apocalypse",Sheoldred the Apocalypse,corrected from: Sheoldred the Apocalypse
exact,Currency Converter,Currency Converter,
exact,Long Goodbye,Long Goodbye,
exact,Fallen Shinobi,Fallen Shinobi,
exact,Stern Scolding,Stern Scolding,
exact,Virtue of Persistence,Virtue of Persistence,
unmatched,,5ee,no match found
exact,Dismember,Dismember,
exact,Ledger Shredder,Ledger Shredder,
exact,Time Spiral,Time Spiral,
exact,Kitesail Freebooter,Kitesail Freebooter,
exact,Black Lotus,Black Lotus,
corrected,Memory Jar,Memory Jar _,corrected from: Memory Jar _
corrected,"Malcolm, Alluring Scoundrel",Malcolm Alluring Scoundrel,corrected from: Malcolm Alluring Scoundrel
exact,"Goben, Gene-Splice Savant","Goben, Gene-Splice Savant",
corrected,Mishra's Bauble,Mishra s Bauble,corrected from: Mishra s Bauble
