status,official_name,ocr_input,note
unmatched,,All crcatures have unless you pay Atthe beginning,no match found
unmatched,,Attha bonning n{ )ouf,no match found
exact,Basalt Monolith,Basalt Monolith,
corrected,Cathartic Pyre,Cathantic Pyre,corrected from: Cathantic Pyre
corrected,Chaos Defiler,Chaos Deliler,corrected from: Chaos Deliler
corrected,Coveted Jewel,Coveted lewel,corrected from: Coveted lewel
exact,Everflowing Chalice,Everflowing Chalice,
exact,Expedition Map,Expedition Map,
exact,Forensic Gadgeteer,Forensic Gadgeteer,
exact,Forth Eorlingas!,Forth Eorlingas!,
unmatched,,Funn,no match found
exact,Grim Monolith,Grim Monolith,
unmatched,,Indcenuctbk,no match found
unmatched,,Legendary Land,no match found
unmatched,,Lexendary Artlfact,no match found
corrected,"Lightning, Army of One",Lishtning Army ol One,corrected from: Lishtning Army ol One
unmatched,,Lrsendnry Land,no match found
corrected,Mishra's Workshop,Mishra $ Workshop,corrected from: Mishra $ Workshop
corrected,Myr Battlesphere,Myr Bautlesphere,corrected from: Myr Bautlesphere
exact,Night Scythe,Night Scythe,
corrected,PalantÃ­r of Orthanc,Palantir of Orthanc,corrected from: Palantir of Orthanc
corrected,Porcelain Legionnaire,Porcclain Lezionnaire,corrected from: Porcclain Lezionnaire
exact,Rishadan Port,Rishadan Port,
corrected,Sacred Foundry,Sacred Foundny,corrected from: Sacred Foundny
corrected,Savai Triome,Saval Triome,corrected from: Saval Triome
exact,Shattered Landscape,Shattered Landscape,
exact,Stonecoil Serpent,Stonecoil Serpent,
corrected,Talisman of Creativity,Talisman ol Creativily,corrected from: Talisman ol Creativily
corrected,"Tezzeret, Cruel Captain","Teaeret, Cruel Captai","corrected from: Teaeret, Cruel Captai"
exact,The Aetherspark,The Aetherspark,
exact,The One Ring,The One Ring,
corrected,The Tabernacle at Pendrell Vale,The Taberacle at Pendrcll Vale,corrected from: The Taberacle at Pendrcll Vale
unmatched,,The academy torked Euth,no match found
exact,Tolarian Academy,Tolarian Academy,
corrected,"Ugin, Eye of the Storms",Ugin.Exe of the Storms_,corrected from: Ugin.Exe of the Storms_
corrected,"Urza, Lord High Artificer",Una: Lord High Artificcr,corrected from: Una: Lord High Artificcr
exact,Wrath of God,Wrath of God,
unmatched,,control: Add for euch artifact you,no match found
exact,Fellwar Stone,fellwar Stone,
unmatched,,ofrour UPkecP; deotroy this crcaturg,no match found
unmatched,,rall Qul;,no match found
unmatched,,thcn dr c Onc Put burdcn countet Q burdan couiniay Kint fot cach butdcn Lountct o5 G Thc Or Rlna Rina,no match found
unmatched,,unul Yout [ur Protcction from cverything,no match found
