status,official_name,ocr_input,note
exact,Ignoble Hierarch,Ignoble Hierarch,
exact,Sowing Mycospawn,Sowing Mycospawn,
exact,Ouroboroid,Ouroboroid,
exact,Woodfall Primus,Woodfall Primus,
exact,"Nissa, Who Shakes the World","Nissa, Who Shakes the World",
exact,Natural Order,Natural Order,
exact,Green Sun's Zenith,Green Sun's Zenith,
exact,Alpha Deathclaw,Alpha Deathclaw,
exact,Mox Jet,Mox Jet,
exact,"Titania, Protector of Argoth","Titania, Protector of Argoth",
exact,Mox Poison,Mox Poison,
corrected,"Grist, the Hunger Tide",Grist; the Hunger Tide,corrected from: Grist; the Hunger Tide
exact,Unstoppable Slasher,Unstoppable Slasher,
exact,Deep Forest Hermit,Deep Forest Hermit,
exact,Oracle of Mul Daya,Oracle of Mul Daya,
corrected,Underground Mortuary,Underground Mortuary _,corrected from: Underground Mortuary _
exact,Commune with Beavers,Commune with Beavers,
exact,Gilded Goose,Gilded Goose,
exact,Vaultborn Tyrant,Vaultborn Tyrant,
exact,Questing Beast,Questing Beast,
exact,Gleemox,Gleemox,
exact,Abrupt Decay,Abrupt Decay,
exact,Birthing Ritual,Birthing Ritual,
exact,Sylvan Library,Sylvan Library,
exact,Court of Garenbrig,Court of Garenbrig,
exact,Dark Ritual,Dark Ritual,
exact,"Surrak, Elusive Hunter","Surrak, Elusive Hunter",
unmatched,,Nop,no match found
unmatched,,Enchantment,no match found
unmatched,,When At the Court of Garenbrig enters the beginning of your upkeep,no match found
unmatched,,"battlefield, you become the monarch",no match found
unmatched,,Instant,no match found
unmatched,,Legendary Creature Human Warrior,no match found
unmatched,,counters among,no match found
unmatched,,distribute two,no match found
unmatched,,Then if,no match found
unmatched,,4Pto 5o argaarcea double tennumber,no match found
unmatched,,This spell can t be countered.,no match found
unmatched,,you of +1/+1 counters on re the monarch; each creature you,no match found
unmatched,,Add #06_,no match found
unmatched,,Whenever Trample spell elbiloty control becomes the target ol a an opponcnt 4 crcalure you control or a crcature controls; druw a card. spell,no match found
unmatched,,RvOC control:,no match found
unmatched,,Fve spent my life feeding Atarka $ desire and,no match found
unmatched,,JuutntKers:,no match found
