name
Toby; Beastie Befriender
Mother of Runes
Intrepid Adversary
Flickerwisp
Novice Inspector
Phyrexian Revoker
Stonecoil Serpent
Cathar Commando
(Skyclave Apparition
Mana Tithe
Orcish Bowmasters
Recruiter of the Guard
Thoughtseize
Fateful Absence
Enduring Innocence
Unwanted Remake
Restoration Angel
Long Goodbye
Sratic Prison
Council s Judgment
Palace Iailer
Mishra'$ Factory
"Beza,the Bounding Spring"
Toxic Deluge
Mishra $ Bauble
Shadowy Backstreet
Mox Pearl
Raffine' s Tower
Legendary Creature Elemental Elk
"When Beza, the Bounding Spring enters,"
creale & Treasure token if an opponent
controls more lands than vou. You gain
