name
"Rofellos, Llanowar Emissary"
Lurrus of the Dream-Den
Recurring Nightmare
Exploration
Zagoth Triome
Unearth
Old One Eye
Commercial District
Metamorphosis Fanatic
End-Raze Forerunners
Gaea'$ Cradle
Scythecat Cub
Ancestral Recall
Wasteland
Crop Rotation
Suplex
Bountiful Landscape
Sylvan Safekeeper
Abrade
Twisted Landscape
Ramunap Excavator
Imperial Recruiter
Fabled Passage
Faithless Looting
Oracle of Mul Daya
Scalding Tarn
Palantir 0/ Orthanc
Tireless Tracker
Taiga
SCCC
Craterhoof Behemoth
Six
Jetmir's Garden
Icetill Explorer
