status,official_name,ocr_input,note
corrected,Loran of the Third Path,Loran 0f he Third Path,corrected from: Loran 0f he Third Path
exact,Sol Ring,Sol Ring,
exact,Knight of Autumn,Knight of Autumn,
exact,Sage of the Skies,Sage of the Skies,
exact,Mana Crypt,Mana Crypt,
exact,Alpha Deathclaw,Alpha Deathclaw,
exact,Summon: Good King Mog XII,Summon: Good King Mog XiI,
exact,"Teferi, Hero of Dominaria","Teferi, Hero of Dominaria",
exact,Fire Covenant,Fire Covenant,
unmatched,,"(As tts  Saga enters cPad ajter Your drat Step,",no match found
corrected,Bloodchief's Thirst,"Bloodchief""s Thirst","corrected from: Bloodchief""s Thirst"
exact,Soulherder,Soulherder,
exact,Dack Fayden,Dack Fayden,
exact,"Omnath, Locus of Creation","Omnath, Locus of Creation",
exact,Mind Twist,Mind Twist,
exact,Lingering Souls,Lingering Souls,
exact,Scions of the Ur-Spider,Scions of the Ur-Spider,
corrected,Deep-Cavern Bat,Deep Cavern Bat,corrected from: Deep Cavern Bat
exact,Tidehollow Sculler,Tidehollow Sculler,
corrected,"Tamiyo, Inquisitive Student",Tamiyo. Inquisitive Student,corrected from: Tamiyo. Inquisitive Student
corrected,Headliner Scarlett,(Headliner Scarlett,corrected from: (Headliner Scarlett
exact,Leyline Binding,Leyline Binding,
exact,"Phelia, Exuberant Shepherd","Phelia, Exuberant Shepherd",
exact,Unholy Heat,Unholy Heat,
corrected,Ziatora's Proving Ground,Ziatora s Proving Ground,corrected from: Ziatora s Proving Ground
exact,Birthing Ritual,Birthing Ritual,
exact,Badlands,Badlands,
corrected,Troll of Khazad-dÃ»m,Troll of Khazad-dum,corrected from: Troll of Khazad-dum
exact,Overgrown Tomb,Overgrown Tomb,
exact,Steam Vents,Steam Vents,
exact,Godless Shrine,Godless Shrine,
exact,Savannah,Savannah,
corrected,Meticulous Archive,Meticulous _ Archive,corrected from: Meticulous _ Archive
exact,Thundering Falls,Thundering Falls,
exact,Arid Mesa,Arid Mesa,
corrected,Verdant Catacombs,Verdant Caracombs,corrected from: Verdant Caracombs
