status,official_name,ocr_input,note
unmatched,,Step,no match found
exact,Talisman of Curiosity,Talisman of Curiosity,
exact,Perilous Landscape,Perilous Landscape,
corrected,Mana Confluence,Confluence,corrected from: Confluence
exact,Walking Ballista,Walking Ballista,
exact,Upheaval,Upheaval,
exact,Talisman of Dominance,Talisman of Dominance,
exact,"Ugin, Eye of the Storms","Ugin, Eye of the Storms",
exact,Cori-Steel Cutter,Cori-Steel Cutter,
corrected,Urza's Saga,Urza $ Saga,corrected from: Urza $ Saga
exact,Force of Will,Force of Will,
exact,Counterspell,Counterspell,
exact,Ponder,Ponder,
unmatched,,Step,no match found
exact,Balance,Balance,
exact,Third Path Iconoclast,Third Path Iconoclast,
unmatched,,Step 3:,no match found
exact,"Ragavan, Nimble Pilferer","Ragavan, Nimble Pilferer",
exact,Legion Extruder,Legion Extruder,
exact,Currency Converter,Currency Converter,
corrected,LÃ³rien Revealed,Lorien Revealed,corrected from: Lorien Revealed
corrected,"Saheeli, Sublime Artificer","Saheeli,Sublime Artificer","corrected from: Saheeli,Sublime Artificer"
exact,Ketria Triome,Ketria Triome,
corrected,Mishra's Workshop,Mishra s Workshop,corrected from: Mishra s Workshop
unmatched,,Step 4:,no match found
exact,"Tezzeret, Cruel Captain","Tezzeret, Cruel Captain",
exact,Lightning Bolt,Lightning Bolt,
exact,Tolarian Academy,Tolarian Academy,
exact,Fiery Confluence,Fiery Confluence,
exact,Expedition Map,Expedition Map,
exact,Dismember,Dismember,
exact,Everflowing Chalice,Everflowing Chalice,
unmatched,,Step 5:,no match found
exact,Relic of Sauron,Relic of Sauron,
exact,Coalition Relic,Coalition Relic,
exact,Gleemox,Gleemox,
exact,"Otawara, Soaring City","Otawara, Soaring City",
exact,The One Ring,The One Ring,
