status,official_name,ocr_input,note
exact,The Goose Mother,The Goose Mother,
exact,Thieving Skydiver,Thieving Skydiver,
exact,"Sheoldred, the Apocalypse","Sheoldred, the Apocalypse",
corrected,Memory Jar,Memory lar,corrected from: Memory lar
exact,Ertai Resurrected,Ertai Resurrected,
exact,Sylvan Library,Sylvan Library,
exact,Ledger Shredder,Ledger Shredder,
corrected,"Nadu, Winged Wisdom","Nadu,Winged Wisdom","corrected from: Nadu,Winged Wisdom"
corrected,Mox Sapphire,Mox Sapphire_,corrected from: Mox Sapphire_
exact,"Bristly Bill, Spine Sower","Bristly Bill, Spine Sower",
corrected,Jack-in-the-Mox,Jack-in-the-Mox_,corrected from: Jack-in-the-Mox_
exact,Arcane Denial,Arcane Denial,
exact,Traveling Chocobo,Traveling Chocobo,
exact,Smirking Spelljacker,Smirking Spelljacker,
exact,Lotus Cobra,Lotus Cobra,
exact,Snapcaster Mage,Snapcaster Mage,
exact,Windfall,Windfall,
exact,Baleful Mastery,Baleful Mastery,
exact,Gilded Goose,Gilded Goose,
exact,"Leovold, Emissary of Trest","Leovold, Emissary of Trest",
exact,Frantic Search,Frantic Search,
exact,Mana Leak,Mana Leak,
exact,Vampiric Tutor,Vampiric Tutor,
corrected,Assassin's Trophy,Assassin' $ Trophy,corrected from: Assassin' $ Trophy
exact,Repeal,Repeal,
