status,official_name,ocr_input,note
corrected,"Toby, Beastie Befriender",Toby; Beastie Befriender,corrected from: Toby; Beastie Befriender
exact,Mother of Runes,Mother of Runes,
exact,Intrepid Adversary,Intrepid Adversary,
exact,Flickerwisp,Flickerwisp,
exact,Novice Inspector,Novice Inspector,
exact,Phyrexian Revoker,Phyrexian Revoker,
exact,Stonecoil Serpent,Stonecoil Serpent,
exact,Cathar Commando,Cathar Commando,
corrected,Skyclave Apparition,(Skyclave Apparition,corrected from: (Skyclave Apparition
exact,Mana Tithe,Mana Tithe,
exact,Orcish Bowmasters,Orcish Bowmasters,
exact,Recruiter of the Guard,Recruiter of the Guard,
exact,Thoughtseize,Thoughtseize,
exact,Fateful Absence,Fateful Absence,
exact,Enduring Innocence,Enduring Innocence,
exact,Unwanted Remake,Unwanted Remake,
exact,Restoration Angel,Restoration Angel,
exact,Long Goodbye,Long Goodbye,
corrected,Static Prison,Sratic Prison,corrected from: Sratic Prison
corrected,Council's Judgment,Council s Judgment,corrected from: Council s Judgment
corrected,Palace Jailer,Palace Iailer,corrected from: Palace Iailer
corrected,Mishra's Factory,Mishra'$ Factory,corrected from: Mishra'$ Factory
corrected,"Beza, the Bounding Spring","Beza,the Bounding Spring","corrected from: Beza,the Bounding Spring"
exact,Toxic Deluge,Toxic Deluge,
corrected,Mishra's Bauble,Mishra $ Bauble,corrected from: Mishra $ Bauble
exact,Shadowy Backstreet,Shadowy Backstreet,
exact,Mox Pearl,Mox Pearl,
corrected,Raffine's Tower,Raffine' s Tower,corrected from: Raffine' s Tower
unmatched,,Legendary Creature Elemental Elk,no match found
duplicate,"Beza, the Bounding Spring","When Beza, the Bounding Spring enters,",duplicate removed
unmatched,,creale & Treasure token if an opponent,no match found
unmatched,,controls more lands than vou. You gain,no match found
