status,official_name,ocr_input,note
exact,"Rofellos, Llanowar Emissary","Rofellos, Llanowar Emissary",
exact,Lurrus of the Dream-Den,Lurrus of the Dream-Den,
exact,Recurring Nightmare,Recurring Nightmare,
exact,Exploration,Exploration,
exact,Zagoth Triome,Zagoth Triome,
exact,Unearth,Unearth,
exact,Old One Eye,Old One Eye,
exact,Commercial District,Commercial District,
exact,Metamorphosis Fanatic,Metamorphosis Fanatic,
exact,End-Raze Forerunners,End-Raze Forerunners,
corrected,Gaea's Cradle,Gaea'$ Cradle,corrected from: Gaea'$ Cradle
exact,Scythecat Cub,Scythecat Cub,
exact,Ancestral Recall,Ancestral Recall,
exact,Wasteland,Wasteland,
exact,Crop Rotation,Crop Rotation,
exact,Suplex,Suplex,
exact,Bountiful Landscape,Bountiful Landscape,
exact,Sylvan Safekeeper,Sylvan Safekeeper,
exact,Abrade,Abrade,
exact,Twisted Landscape,Twisted Landscape,
exact,Ramunap Excavator,Ramunap Excavator,
exact,Imperial Recruiter,Imperial Recruiter,
exact,Fabled Passage,Fabled Passage,
exact,Faithless Looting,Faithless Looting,
exact,Oracle of Mul Daya,Oracle of Mul Daya,
exact,Scalding Tarn,Scalding Tarn,
corrected,PalantÃ­r of Orthanc,Palantir 0/ Orthanc,corrected from: Palantir 0/ Orthanc
exact,Tireless Tracker,Tireless Tracker,
exact,Taiga,Taiga,
unmatched,,SCCC,no match found
exact,Craterhoof Behemoth,Craterhoof Behemoth,
exact,Six,Six,
exact,Jetmir's Garden,Jetmir's Garden,
exact,Icetill Explorer,Icetill Explorer,
