status,official_name,ocr_input,note
exact,Questing Beast,Questing Beast,
exact,Finale of Devastation,Finale of Devastation,
exact,Gitaxian Probe,Gitaxian Probe,
exact,Commune with Beavers,Commune with Beavers,
exact,The Aetherspark,The Aetherspark,
exact,Delighted Halfling,Delighted Halfling,
corrected,Green Sun's Zenith,Green Sun $ Zenith,corrected from: Green Sun $ Zenith
exact,Brazen Borrower,Brazen Borrower,
exact,Strix Serenade,Strix Serenade,
exact,Goldvein Hydra,Goldvein Hydra,
exact,"Oko, Thief of Crowns","Oko, Thief of Crowns",
exact,Hedge Maze,Hedge Maze,
exact,Noble Hierarch,Noble Hierarch,
exact,Court of Garenbrig,Court of Garenbrig,
exact,Deep Forest Hermit,Deep Forest Hermit,
exact,Time Spiral,Time Spiral,
exact,Phantasmal Image,Phantasmal Image,
exact,Tranquil Landscape,Tranquil Landscape,
corrected,"Goben, Gene-Splice Savant",Goben; Gene-Splice Savant,corrected from: Goben; Gene-Splice Savant
exact,Timetwister,Timetwister,
exact,Spara's Headquarters,Spara's Headquarters,
exact,Spell Pierce,Spell Pierce,
exact,Sylvan Caryatid,Sylvan Caryatid,
corrected,"Malcolm, Alluring Scoundrel","Malcolm,Alluring Scoundrel","corrected from: Malcolm,Alluring Scoundrel"
exact,Batterskull,Batterskull,
exact,Llanowar Elves,Llanowar Elves,
exact,Sleight of Hand,Sleight of Hand,
exact,Black Lotus,Black Lotus,
unmatched,,Creature Elf Druld,no match found
unmatched,,(Sorcery,no match found
unmatched,,Add,no match found
unmatched,,Arlifact,no match found
unmatched,,Look @Lghc (OP two cards ofyour,no match found
unmatched,,One bone broken for every twig snapped,no match found
unmatched,,library Put onc of them into your,no match found
unmatched,,underfoot:,no match found
unmatched,,hand and the othcr 0n the bottom of,no match found
unmatched,,~Llanowar panalty for trespassing,no match found
unmatched,,"@, Sacrifice Black Lotus: mana of any Onle color; Add thrce",no match found
unmatched,,your library:,no match found
unmatched,,"""Gambling with mages nGver ix""",no match found
unmatched,,"~Remin, ucnerabla )onk",no match found
