status,official_name,ocr_input,note
corrected,Swords to Plowshares,Swords t0 Plowshares_,corrected from: Swords t0 Plowshares_
exact,Pest Infestation,Pest Infestation,
exact,Mox Emerald,Mox Emerald,
exact,Mawloc,Mawloc,
exact,Flame Slash,Flame Slash,
exact,Chaos Defiler,Chaos Defiler,
exact,"Surrak, Elusive Hunter","Surrak, Elusive Hunter",
exact,"Otharri, Suns' Glory","Otharri, Suns' Glory",
corrected,Avacyn's Pilgrim,Avacyn $ Pilgrim,corrected from: Avacyn $ Pilgrim
exact,Seasoned Pyromancer,Seasoned Pyromancer,
corrected,Ignoble Hierarch,Ugnoble Hierarch,corrected from: Ugnoble Hierarch
exact,Fury,Fury,
exact,Orcish Lumberjack,Orcish Lumberjack,
corrected,"Gut, True Soul Zealot",Gut; True Soul Zealot,corrected from: Gut; True Soul Zealot
exact,Multiversal Passage,Multiversal Passage,
corrected,"Laelia, the Blade Reforged","Laelia,the Blade Reforged","corrected from: Laelia,the Blade Reforged"
exact,Starting Town,Starting Town,
exact,Badgermole Cub,Badgermole Cub,
exact,"Chandra, Torch of Defiance","Chandra, Torch of Defiance",
exact,Generous Plunderer,Generous Plunderer,
exact,Shattered Landscape,Shattered Landscape,
corrected,"Minsc & Boo, Timeless Heroes",Minsc & Boo; Timeless Heroes,corrected from: Minsc & Boo; Timeless Heroes
exact,Smuggler's Copter,Smuggler's Copter,
exact,Fear of Missing Out,Fear of Missing Out,
exact,Esika's Chariot,Esika's Chariot,
exact,Pyrogoyf,Pyrogoyf,
exact,Springheart Nantuko,Springheart Nantuko,
unmatched,,Legendary Artifact Vehicle,no match found
