status,official_name,ocr_input,note
corrected,Sheoldred's Edict,Sheoldred s Edict,corrected from: Sheoldred s Edict
exact,Archon of Cruelty,Archon of Cruelty,
exact,Snuff Out,Snuff Out,
exact,Reanimate,Reanimate,
exact,Thoughtseize,Thoughtseize,
exact,Mox Poison,Mox Poison,
exact,Smuggler's Copter,Smuggler's Copter,
exact,Animate Dead,Animate Dead,
exact,Vaultborn Tyrant,Vaultborn Tyrant,
exact,Necromancy,Necromancy,
exact,Entomb,Entomb,
corrected,"Valgavoth, Terror Eater",Valgavoth Terror Eater,corrected from: Valgavoth Terror Eater
exact,Greasewrench Goblin,Greasewrench Goblin,
exact,Dance of the Dead,Dance of the Dead,
exact,Charming Scoundrel,Charming Scoundrel,
unmatched,,2e8,no match found
exact,Grief,Grief,
exact,"Ivora, Insatiable Heir","Ivora, Insatiable Heir",
exact,Galvanic Discharge,Galvanic Discharge,
exact,Black Lotus,Black Lotus,
exact,Emperor of Bones,Emperor of Bones,
exact,Unholy Heat,Unholy Heat,
exact,Seasoned Pyromancer,Seasoned Pyromancer,
unmatched,,Lee,no match found
corrected,PalantÃ­r of Orthanc,Palantir of Orthanc,corrected from: Palantir of Orthanc
exact,Faithless Looting,Faithless Looting,
exact,Fear of Missing Out,Fear of Missing Out,
exact,Metamorphosis Fanatic,Metamorphosis Fanatic,
