status,official_name,ocr_input,note
unmatched,,Miun,no match found
corrected,Sentinel of the Nameless City,Senlnel 0f the Numeless Clly,corrected from: Senlnel 0f the Numeless Clly
corrected,Sensei's Divining Top,Sensell DlyIning_ Top,corrected from: Sensell DlyIning_ Top
corrected,Flame Slash,Hame Slash,corrected from: Hame Slash
unmatched,,Eble = olhc Mirtor Drcakcr,no match found
exact,Mox Sapphire,Mox Sapphire,
exact,Contaminated Landscape,Contaminated Landscape,
corrected,Mana Confluence,Condluence,corrected from: Condluence
exact,Starting Town,Starting Town,
corrected,Fabled Passage,Fabled Paraase,corrected from: Fabled Paraase
exact,Pentad Prism,Pentad Prism,
corrected,Zagoth Triome,Zasoth Triomg,corrected from: Zasoth Triomg
exact,Orcish Bowmasters,Orcish Bowmasters,
exact,Badlands,Badlands,
corrected,Breeding Pool,Brceding Pool,corrected from: Brceding Pool
corrected,Bountiful Landscape,Dountiful Landscape,corrected from: Dountiful Landscape
exact,Damnation,Damnation,
corrected,Tarfire,arfire,corrected from: arfire
corrected,"Leovold, Emissary of Trest",Leovold Emissaryof Trest,corrected from: Leovold Emissaryof Trest
exact,Vampiric Tutor,Vampiric Tutor,
exact,Nethergoyf,Nethergoyf,
exact,Ancestral Recall,Ancestral Recall,
exact,Relic of Sauron,Relic of Sauron,
corrected,Esika's Chariot,Esika $ Chariot,corrected from: Esika $ Chariot
exact,Wheel of Fortune,Wheel of Fortune,
exact,Chaos Defiler,Chaos Defiler,
exact,Mana Leak,Mana Leak,
corrected,Jack-in-the-Mox,lack-in- the- Mox,corrected from: lack-in- the- Mox
corrected,Talisman of Curiosity,Talisman of Curiosiy,corrected from: Talisman of Curiosiy
exact,Coalition Relic,Coalition Relic,
exact,Mind Twist,Mind Twist,
exact,Raucous Theater,Raucous Theater,
corrected,"Oko, Thief of Crowns",Oko;Thief of Crowns,corrected from: Oko;Thief of Crowns
exact,Force of Negation,Force of Negation,
unmatched,,Artifact,no match found
unmatched,,Relic. Add Putt one mana of charge counter on any color. Coalition,no match found
unmatched,,Ar the beginning of your precombat,no match found
unmatched,,"(Etioc"" this waY. remove all Relic; Add one mana of any charge counters from",no match found
unmatched,,Legendary Planeswalker Oko,no match found
unmatched,,color for cach charge counter removed,no match found
unmatched,,Create Sacnfice thut arifact: You gain 3 life: Food token. (It' anarifact,no match found
unmatched,,Instant,no match found
unmatched,,Targct artfnct or crcanire losesall abilines,no match found
unmatched,,Poucr and become; Tontrofund [arget creature an opponent [ougnness 3B- Erccn Elk creature with base,no match found
unmatched,,"card If it'$ spell' $ spell _ O? putting it into its owner' from not mana COSt: countered your tum, your hand rather this way; you may spell. than pay this graveyard. exile If that 9 blue",no match found
unmatched,,Exchange control of target urtifact or creature |,no match found
unmatched,,Counter target noncrswuye Gple it instead|,no match found
unmatched,,contcolntwvith power J or Iess.,no match found
unmatched,,20z0 Cullom Pron? Roi [ORSALL,no match found
unmatched,,"""To, if you must:",no match found
unmatched,,70l1,no match found
